Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,move,"move 23 5",1,121,350,150,23,5,100,24,28,100,1,16
3,move,"move 23 27",2,126,350,150,23,5,100,23,27,100,1,16
4,move,"move 2 15",3,131,350,150,23,5,100,23,27,100,2,15
5,dig,"dig 22 6",1,138,350,150,23,5,100,23,27,100,2,15
6,dig,"dig 22 26",2,145,350,150,23,5,100,23,27,100,2,15
7,dig,"dig 3 15",3,152,350,150,23,5,100,23,27,100,2,15
8,move,"move 22 6",1,157,350,150,22,6,100,23,27,100,2,15
9,move,"move 22 26",2,162,350,150,22,6,100,22,26,100,2,15
10,move,"move 3 15",3,167,350,150,22,6,100,22,26,100,3,15
11,dig,"dig 21 7",1,174,350,150,22,6,100,22,26,100,3,15
12,dig,"dig 21 25",2,181,350,150,22,6,100,22,26,100,3,15
13,dig,"dig 4 15",3,188,350,150,22,6,100,22,26,100,3,15
14,move,"move 21 7",1,193,350,150,21,7,100,22,26,100,3,15
15,move,"move 21 25",2,198,350,150,21,7,100,21,25,100,3,15
16,move,"move 4 15",3,203,350,150,21,7,100,21,25,100,4,15
17,dig,"dig 20 8",1,210,350,150,21,7,100,21,25,100,4,15
18,move,"move 20 24",2,215,350,150,21,7,100,20,24,100,4,15
19,dig,"dig 5 15",3,222,350,150,21,7,100,20,24,100,4,15
20,move,"move 20 8",1,227,350,150,20,8,100,20,24,100,4,15
21,move,"move 19 23",2,232,350,150,20,8,100,19,23,100,4,15
22,move,"move 5 15",3,237,350,150,20,8,100,19,23,100,5,15
23,dig,"dig 19 9",1,244,350,150,20,8,100,19,23,100,5,15
24,move,"move 18 22",2,249,350,150,20,8,100,18,22,100,5,15
25,shoot,"shoot W",2,263,342,150,20,8,92,18,22,100,5,15
26,shoot,"shoot W",2,276,334,150,20,8,84,18,22,100,5,15
27,shoot,"shoot W",2,289,326,150,20,8,76,18,22,100,5,15
28,shoot,"shoot W",2,303,318,150,20,8,68,18,22,100,5,15
29,shoot,"shoot W",2,316,310,150,20,8,60,18,22,100,5,15
30,move,"move 6 15",3,321,310,150,20,8,60,18,22,100,6,15
31,move,"move 19 9",1,326,310,150,19,9,60,18,22,100,6,15
32,banana,"banana 14 22",2,384,302,150,19,9,52,18,22,100,6,15
33,move,"move 7 15",3,389,302,150,19,9,52,18,22,100,7,15
34,dig,"dig 18 10",1,396,302,150,19,9,52,18,22,100,7,15
35,banana,"banana 14 22",2,434,294,150,19,9,44,18,22,100,7,15
36,move,"move 8 15",3,439,294,150,19,9,44,18,22,100,8,15
37,move,"move 18 10",1,444,294,150,18,10,44,18,22,100,8,15
38,banana,"banana 14 22",2,481,286,150,18,10,36,18,22,100,8,15
39,dig,"dig 9 15",3,481,266,130,18,10,36,18,22,100,8,15
40,move,"move 17 11",1,486,266,130,17,11,36,18,22,100,8,15
41,shoot,"shoot W",2,500,258,130,17,11,28,18,22,100,8,15
42,move,"move 9 15",3,498,238,110,17,11,28,18,22,100,9,15
43,move,"move 16 12",1,503,238,110,16,12,28,18,22,100,9,15
44,shoot,"shoot W",2,516,230,110,16,12,20,18,22,100,9,15
45,move,"move 10 15",3,515,210,90,16,12,20,18,22,100,10,15
46,shoot,"shoot NW",1,531,210,90,16,12,20,18,22,100,10,15
47,shoot,"shoot W",2,544,202,90,16,12,12,18,22,100,10,15
48,dig,"dig 11 15",3,548,194,82,16,12,12,18,22,100,10,15
49,shoot,"shoot NW",1,564,194,82,16,12,12,18,22,100,10,15
50,shoot,"shoot W",2,578,186,82,16,12,4,18,22,100,10,15
51,move,"move 11 15",3,580,178,74,16,12,4,18,22,100,11,15
52,shoot,"shoot NW",1,596,178,74,16,12,4,18,22,100,11,15
53,shoot,"shoot W",2,611,174,74,16,12,-4,18,22,100,11,15
54,move,"move 12 15",3,613,166,66,16,12,-4,18,22,100,12,15
55,shoot,"shoot NW",1,629,166,66,16,12,-4,18,22,100,12,15
56,move,"move 13 15",3,634,166,66,16,12,-4,18,22,100,13,15
57,shoot,"shoot NW",1,647,158,58,16,12,-4,18,22,100,13,15
58,move,"move 14 15",3,656,168,58,16,12,-4,18,22,110,14,15
59,shoot,"shoot NW",1,672,168,58,16,12,-4,18,22,110,14,15
60,snowball,"snowball 14 10",3,686,160,50,16,12,-4,18,22,110,14,15
61,shoot,"shoot NW",1,702,160,50,16,12,-4,18,22,110,14,15
62,move,"move 15 16",3,707,160,50,16,12,-4,18,22,110,15,16
63,shoot,"shoot NW",1,723,160,50,16,12,-4,18,22,110,15,16
64,snowball,"snowball 16 20",3,740,160,50,16,12,-4,18,22,110,15,16
65,shoot,"shoot NW",1,756,160,50,16,12,-4,18,22,110,15,16
66,move,"move 16 17",3,753,152,42,16,12,-4,18,22,110,15,16
67,shoot,"shoot NW",1,769,152,42,16,12,-4,18,22,110,15,16
