Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,8,28,100,8,4,100,31,16
2,move,"move 9 27",1,121,350,150,9,27,100,8,4,100,31,16
3,move,"move 9 5",2,126,350,150,9,27,100,9,5,100,31,16
4,move,"move 30 17",3,131,350,150,9,27,100,9,5,100,30,17
5,dig,"dig 10 26",1,138,350,150,9,27,100,9,5,100,30,17
6,dig,"dig 10 6",2,145,350,150,9,27,100,9,5,100,30,17
7,dig,"dig 29 17",3,152,350,150,9,27,100,9,5,100,30,17
8,move,"move 10 26",1,157,350,150,10,26,100,9,5,100,30,17
9,move,"move 10 6",2,162,350,150,10,26,100,10,6,100,30,17
10,move,"move 29 17",3,167,350,150,10,26,100,10,6,100,29,17
11,dig,"dig 11 25",1,174,350,150,10,26,100,10,6,100,29,17
12,dig,"dig 11 7",2,181,350,150,10,26,100,10,6,100,29,17
13,move,"move 28 17",3,186,350,150,10,26,100,10,6,100,28,17
14,move,"move 11 25",1,191,350,150,11,25,100,10,6,100,28,17
15,move,"move 11 7",2,196,350,150,11,25,100,11,7,100,28,17
16,move,"move 27 17",3,201,350,150,11,25,100,11,7,100,27,17
17,move,"move 12 24",1,206,350,150,12,24,100,11,7,100,27,17
18,dig,"dig 12 8",2,213,350,150,12,24,100,11,7,100,27,17
19,move,"move 26 17",3,218,350,150,12,24,100,11,7,100,26,17
20,move,"move 13 23",1,223,350,150,13,23,100,11,7,100,26,17
21,move,"move 12 8",2,228,350,150,13,23,100,12,8,100,26,17
22,move,"move 25 17",3,233,350,150,13,23,100,12,8,100,25,17
23,move,"move 14 22",1,238,350,150,14,22,100,12,8,100,25,17
24,dig,"dig 13 9",2,245,350,150,14,22,100,12,8,100,25,17
25,shoot,"shoot E",1,259,342,142,14,22,100,12,8,100,25,17
26,shoot,"shoot E",1,272,334,134,14,22,100,12,8,100,25,17
27,shoot,"shoot E",1,285,326,126,14,22,100,12,8,100,25,17
28,shoot,"shoot E",1,299,318,118,14,22,100,12,8,100,25,17
29,shoot,"shoot E",1,312,310,110,14,22,100,12,8,100,25,17
30,move,"move 13 9",2,317,310,110,14,22,100,13,9,100,25,17
31,move,"move 24 17",3,322,310,110,14,22,100,13,9,100,24,17
32,shoot,"shoot E",1,331,290,90,14,22,100,13,9,100,24,17
33,dig,"dig 14 10",2,338,290,90,14,22,100,13,9,100,24,17
34,dig,"dig 23 17",3,345,290,90,14,22,100,13,9,100,24,17
35,shoot,"shoot E",1,355,270,70,14,22,100,13,9,100,24,17
36,move,"move 14 10",2,360,270,70,14,22,100,14,10,100,24,17
37,move,"move 23 17",3,365,270,70,14,22,100,14,10,100,23,17
38,shoot,"shoot E",1,374,250,50,14,22,100,14,10,100,23,17
39,banana,"banana 18 10",2,470,250,50,14,22,100,14,10,100,23,17
40,dig,"dig 22 17",3,477,250,50,14,22,100,14,10,100,23,17
41,shoot,"shoot E",1,490,242,42,14,22,100,14,10,100,23,17
42,banana,"banana 17 11",2,551,242,42,14,22,100,14,10,100,23,17
43,move,"move 22 17",3,556,242,42,14,22,100,14,10,100,22,17
44,shoot,"shoot E",1,570,234,34,14,22,100,14,10,100,22,17
45,banana,"banana 16 12",2,610,234,34,14,22,100,14,10,100,22,17
46,dig,"dig 21 17",3,614,226,34,14,22,92,14,10,100,22,17
47,shoot,"shoot E",1,627,218,26,14,22,92,14,10,100,22,17
48,shoot,"shoot SE",2,643,218,26,14,22,92,14,10,100,22,17
49,move,"move 21 17",3,646,210,26,14,22,84,14,10,100,21,17
50,shoot,"shoot E",1,659,202,18,14,22,84,14,10,100,21,17
51,shoot,"shoot SE",2,675,202,18,14,22,84,14,10,100,21,17
52,dig,"dig 20 17",3,679,194,18,14,22,76,14,10,100,21,17
53,shoot,"shoot E",1,733,186,10,14,22,76,14,10,100,21,17
54,shoot,"shoot SE",2,749,186,10,14,22,76,14,10,100,21,17
