Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,8,28,100,8,4,100,31,16
2,move,"move 9 27",1,121,350,150,9,27,100,8,4,100,31,16
3,move,"move 9 5",2,126,350,150,9,27,100,9,5,100,31,16
4,move,"move 30 17",3,131,350,150,9,27,100,9,5,100,30,17
5,dig,"dig 10 26",1,138,350,150,9,27,100,9,5,100,30,17
6,dig,"dig 10 6",2,145,350,150,9,27,100,9,5,100,30,17
7,dig,"dig 29 17",3,152,350,150,9,27,100,9,5,100,30,17
8,move,"move 10 26",1,157,350,150,10,26,100,9,5,100,30,17
9,move,"move 10 6",2,162,350,150,10,26,100,10,6,100,30,17
10,move,"move 29 17",3,167,350,150,10,26,100,10,6,100,29,17
11,move,"move 11 25",1,172,350,150,11,25,100,10,6,100,29,17
12,move,"move 11 7",2,177,350,150,11,25,100,11,7,100,29,17
13,move,"move 28 17",3,182,350,150,11,25,100,11,7,100,28,17
14,move,"move 12 24",1,187,350,150,12,24,100,11,7,100,28,17
15,move,"move 12 8",2,192,350,150,12,24,100,12,8,100,28,17
16,dig,"dig 27 17",3,199,350,150,12,24,100,12,8,100,28,17
17,move,"move 13 23",1,204,350,150,13,23,100,12,8,100,28,17
18,move,"move 13 9",2,209,350,150,13,23,100,13,9,100,28,17
19,move,"move 27 17",3,214,350,150,13,23,100,13,9,100,27,17
20,move,"move 14 22",1,219,350,150,14,22,100,13,9,100,27,17
21,dig,"dig 14 10",2,226,350,150,14,22,100,13,9,100,27,17
22,shoot,"shoot E",1,240,342,142,14,22,100,13,9,100,27,17
23,shoot,"shoot E",1,253,334,134,14,22,100,13,9,100,27,17
24,shoot,"shoot E",1,266,326,126,14,22,100,13,9,100,27,17
25,shoot,"shoot E",1,280,318,118,14,22,100,13,9,100,27,17
26,shoot,"shoot E",1,293,310,110,14,22,100,13,9,100,27,17
27,move,"move 14 10",2,298,310,110,14,22,100,14,10,100,27,17
28,dig,"dig 26 17",3,305,310,110,14,22,100,14,10,100,27,17
29,shoot,"shoot E",1,314,290,90,14,22,100,14,10,100,27,17
30,banana,"banana 18 10",2,403,290,90,14,22,100,14,10,100,27,17
31,move,"move 26 17",3,408,290,90,14,22,100,14,10,100,26,17
32,shoot,"shoot E",1,418,270,70,14,22,100,14,10,100,26,17
33,banana,"banana 17 11",2,479,270,70,14,22,100,14,10,100,26,17
34,dig,"dig 25 17",3,486,270,70,14,22,100,14,10,100,26,17
35,shoot,"shoot E",1,495,250,50,14,22,100,14,10,100,26,17
36,banana,"banana 16 12",2,549,250,50,14,22,100,14,10,100,26,17
37,move,"move 25 17",3,551,242,50,14,22,92,14,10,100,25,17
38,shoot,"shoot E",1,565,234,42,14,22,92,14,10,100,25,17
39,shoot,"shoot SE",2,581,234,42,14,22,92,14,10,100,25,17
40,dig,"dig 24 17",3,585,226,42,14,22,84,14,10,100,25,17
41,shoot,"shoot E",1,598,218,34,14,22,84,14,10,100,25,17
42,shoot,"shoot SE",2,614,218,34,14,22,84,14,10,100,25,17
43,move,"move 24 17",3,617,210,34,14,22,76,14,10,100,24,17
44,shoot,"shoot E",1,630,202,26,14,22,76,14,10,100,24,17
45,shoot,"shoot SE",2,646,202,26,14,22,76,14,10,100,24,17
46,move,"move 23 17",3,648,194,26,14,22,68,14,10,100,23,17
47,shoot,"shoot E",1,662,186,18,14,22,68,14,10,100,23,17
48,shoot,"shoot SE",2,678,186,18,14,22,68,14,10,100,23,17
49,move,"move 22 17",3,680,178,18,14,22,60,14,10,100,22,17
50,shoot,"shoot E",1,733,170,10,14,22,60,14,10,100,22,17
51,shoot,"shoot SE",2,749,170,10,14,22,60,14,10,100,22,17
52,dig,"dig 21 17",3,754,162,10,14,22,52,14,10,100,22,17
53,move,"move 15 21",1,759,162,10,15,21,52,14,10,100,22,17
54,shoot,"shoot SE",2,772,154,10,15,21,44,14,10,100,22,17
