Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,move,"move 23 5",1,121,350,150,23,5,100,24,28,100,1,16
3,move,"move 23 27",2,126,350,150,23,5,100,23,27,100,1,16
4,move,"move 2 15",3,131,350,150,23,5,100,23,27,100,2,15
5,dig,"dig 22 6",1,138,350,150,23,5,100,23,27,100,2,15
6,dig,"dig 22 26",2,145,350,150,23,5,100,23,27,100,2,15
7,dig,"dig 3 15",3,152,350,150,23,5,100,23,27,100,2,15
8,move,"move 22 6",1,157,350,150,22,6,100,23,27,100,2,15
9,move,"move 22 26",2,162,350,150,22,6,100,22,26,100,2,15
10,move,"move 3 15",3,167,350,150,22,6,100,22,26,100,3,15
11,move,"move 21 7",1,172,350,150,21,7,100,22,26,100,3,15
12,move,"move 21 25",2,177,350,150,21,7,100,21,25,100,3,15
13,dig,"dig 4 15",3,184,350,150,21,7,100,21,25,100,3,15
14,move,"move 20 8",1,189,350,150,20,8,100,21,25,100,3,15
15,move,"move 20 24",2,194,350,150,20,8,100,20,24,100,3,15
16,move,"move 4 15",3,199,350,150,20,8,100,20,24,100,4,15
17,move,"move 19 9",1,204,350,150,19,9,100,20,24,100,4,15
18,move,"move 19 23",2,209,350,150,19,9,100,19,23,100,4,15
19,dig,"dig 5 15",3,216,350,150,19,9,100,19,23,100,4,15
20,dig,"dig 18 10",1,223,350,150,19,9,100,19,23,100,4,15
21,move,"move 18 22",2,228,350,150,19,9,100,18,22,100,4,15
22,shoot,"shoot W",2,242,342,150,19,9,92,18,22,100,4,15
23,shoot,"shoot W",2,255,334,150,19,9,84,18,22,100,4,15
24,shoot,"shoot W",2,268,326,150,19,9,76,18,22,100,4,15
25,shoot,"shoot W",2,282,318,150,19,9,68,18,22,100,4,15
26,shoot,"shoot W",2,295,310,150,19,9,60,18,22,100,4,15
27,move,"move 5 15",3,300,310,150,19,9,60,18,22,100,5,15
28,move,"move 18 10",1,305,310,150,18,10,60,18,22,100,5,15
29,banana,"banana 14 22",2,363,302,150,18,10,52,18,22,100,5,15
30,move,"move 6 15",3,362,282,130,18,10,52,18,22,100,6,15
31,move,"move 17 11",1,367,282,130,17,11,52,18,22,100,6,15
32,banana,"banana 14 22",2,404,274,130,17,11,44,18,22,100,6,15
33,dig,"dig 7 15",3,404,254,110,17,11,44,18,22,100,6,15
34,move,"move 16 12",1,409,254,110,16,12,44,18,22,100,6,15
35,banana,"banana 14 22",2,447,246,110,16,12,36,18,22,100,6,15
36,move,"move 7 15",3,445,226,90,16,12,36,18,22,100,7,15
37,shoot,"shoot NW",1,461,226,90,16,12,36,18,22,100,7,15
38,shoot,"shoot W",2,474,218,90,16,12,28,18,22,100,7,15
39,dig,"dig 8 15",3,479,210,82,16,12,28,18,22,100,7,15
40,shoot,"shoot NW",1,495,210,82,16,12,28,18,22,100,7,15
41,shoot,"shoot W",2,508,202,82,16,12,20,18,22,100,7,15
42,move,"move 8 15",3,510,194,74,16,12,20,18,22,100,8,15
43,shoot,"shoot NW",1,526,194,74,16,12,20,18,22,100,8,15
44,shoot,"shoot W",2,540,186,74,16,12,12,18,22,100,8,15
45,dig,"dig 9 15",3,544,178,66,16,12,12,18,22,100,8,15
46,shoot,"shoot NW",1,560,178,66,16,12,12,18,22,100,8,15
47,shoot,"shoot W",2,573,170,66,16,12,4,18,22,100,8,15
48,move,"move 9 15",3,576,162,58,16,12,4,18,22,100,9,15
49,shoot,"shoot NW",1,592,162,58,16,12,4,18,22,100,9,15
50,shoot,"shoot W",2,606,158,58,16,12,-4,18,22,100,9,15
51,dig,"dig 10 15",3,611,150,50,16,12,-4,18,22,100,9,15
52,shoot,"shoot NW",1,627,150,50,16,12,-4,18,22,100,9,15
53,move,"move 10 15",3,632,150,50,16,12,-4,18,22,100,10,15
54,shoot,"shoot NW",1,645,142,42,16,12,-4,18,22,100,10,15
55,dig,"dig 11 15",3,652,142,42,16,12,-4,18,22,100,10,15
56,shoot,"shoot NW",1,668,142,42,16,12,-4,18,22,100,10,15
57,move,"move 11 15",3,670,134,34,16,12,-4,18,22,100,11,15
58,shoot,"shoot NW",1,686,134,34,16,12,-4,18,22,100,11,15
59,move,"move 12 15",3,691,134,34,16,12,-4,18,22,100,12,15
60,shoot,"shoot NW",1,705,126,26,16,12,-4,18,22,100,12,15
61,move,"move 13 15",3,710,126,26,16,12,-4,18,22,100,13,15
62,shoot,"shoot NW",1,726,126,26,16,12,-4,18,22,100,13,15
63,move,"move 14 15",3,731,128,18,16,12,-4,18,22,110,14,15
64,shoot,"shoot NW",1,747,128,18,16,12,-4,18,22,110,14,15
65,snowball,"snowball 17 19",3,764,128,18,16,12,-4,18,22,110,14,15
66,shoot,"shoot NW",1,818,120,10,16,12,-4,18,22,110,14,15
